host_since;host_response_time;host_response_rate;host_acceptance_rate;host_is_superhost;host_listings_count;host_identity_verified;neighbourhood_cleansed;property_type;room_type;accommodates;bedrooms;beds;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;instant_bookable
01/11/2014;3;87.640014;81.277545;f;1;t;Williamsburg;Private_room_in_apartment;Private_room;1;1;1;30;1125;0;93.812903;f
03/03/2016;3;100;90;f;125;f;Kips_Bay;Entire_apartment;Entire_home-apt;3;1;1;30;365;15;97;f
11/09/2016;2;100;80;f;2;t;St._Albans;Private_room_in_house;Private_room;4;1;2;30;1125;25;100;f
03/03/2016;3;100;90;f;125;f;Murray_Hill;Entire_condominium;Entire_home-apt;3;2;2;30;1125;1;100;f
03/09/2014;1;80;99;f;2;t;Hells_Kitchen;Entire_apartment;Entire_home-apt;5;1;2;30;1125;188;89;t
07/08/2016;3;100;81.277545;f;2;t;Astoria;Private_room_in_apartment;Private_room;1;1;2;2;60;7;100;f
20/12/2012;3;87.640014;81.277545;f;1;t;Williamsburg;Private_room_in_apartment;Private_room;2;1;1;30;1125;0;93.812903;f
05/12/2017;3;100;60;f;1;f;Flatbush;Entire_apartment;Entire_home-apt;5;3;3;2;1125;46;89;f
24/09/2012;3;87.640014;100;f;1;t;Crown_Heights;Entire_house;Entire_home-apt;5;2;2;2;1125;19;100;t
21/07/2014;3;87.640014;81.277545;f;1;t;Chelsea;Private_room_in_apartment;Private_room;1;1;0;30;1125;2;93.812903;f
05/12/2017;3;100;50;f;1;f;Flatbush;Entire_apartment;Entire_home-apt;4;1;1;2;60;3;93;f
09/11/2016;3;87.640014;0;f;1;f;Astoria;Private_room_in_apartment;Private_room;1;1;1;30;1125;11;93;t
01/05/2017;1;100;100;t;2;t;Prospect-Lefferts_Gardens;Entire_apartment;Entire_home-apt;3;1;2;30;150;21;97;f
09/10/2014;1;100;81.277545;f;1;t;Carroll_Gardens;Private_room_in_condominium;Private_room;4;2;2;30;300;19;96;f
10/12/2016;1;50;50;t;9;t;Upper_West_Side;Entire_apartment;Entire_home-apt;3;1;2;30;90;0;93.812903;f
31/03/2017;3;87.640014;81.277545;f;1;t;Crown_Heights;Private_room_in_apartment;Private_room;2;1;1;30;90;0;93.812903;t
27/07/2017;1;100;100;f;1;t;Inwood;Entire_apartment;Entire_home-apt;1;1;2;30;90;7;100;t
19/09/2015;3;87.640014;67;t;3;f;Corona;Shared_room_in_apartment;Shared_room;2;1;2;1;1125;16;96;f
04/12/2017;3;87.640014;81.277545;f;1;f;Bushwick;Private_room_in_apartment;Private_room;1;1;1;30;30;9;93;t
26/10/2016;3;87.640014;81.277545;f;8;t;Midtown;Entire_place;Entire_home-apt;4;1;1;30;1125;0;93.812903;t
21/03/2016;3;87.640014;81.277545;f;1;t;Bedford-Stuyvesant;Private_room_in_apartment;Private_room;1;1;1;30;1125;4;100;t
06/12/2017;3;87.640014;81.277545;f;1;f;Borough_Park;Shared_room_in_apartment;Shared_room;1;1;1;30;33;8;97;f
06/12/2017;2;100;94;f;1;t;Upper_West_Side;Entire_loft;Entire_home-apt;2;1;1;30;150;41;91;f
06/12/2017;2;100;95;f;2;f;East_Harlem;Entire_condominium;Entire_home-apt;6;2;2;30;365;50;92;f
08/09/2015;3;87.640014;81.277545;f;1;t;Harlem;Private_room_in_apartment;Private_room;1;1;1;30;1125;0;93.812903;f
29/01/2014;3;100;100;t;2;t;Bedford-Stuyvesant;Private_room_in_apartment;Private_room;2;1;1;30;90;66;97;f
